# Portcard 		 FEC 	 tkFEC 		 ring 	 ccu 	 I2C_channel 	 Module 			 POH 	 module_channel 	 FED
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR1F_MOD3		 B1 	 14 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR1F_MOD3		 B2 	 14 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR1F_MOD4		 A1 	 15 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR1F_MOD4		 A2 	 15 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR1F_MOD4		 B1 	 16 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR1F_MOD4		 B2 	 16 			 1260
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD1		 A1 	 20 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD1		 A2 	 20 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD1		 B1 	 19 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD1		 B2 	 19 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD2		 A1 	 18 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD2		 A2 	 18 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD2		 B1 	 17 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD2		 B2 	 17 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD3		 A1 	 28 			 1261
BPix_BmO_SEC1_PRT1 	 6 	 tkfec2 	 0x2 	 0x77 	 0x11 	 BPix_BmO_SEC1_LYR2_LDR2F_MOD3		 A2 	 28 			 1261
